Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,100,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,0,89,5,5,0,0
6,84,0,84,9,9,0,0
7,75,36,111,6,6,0,0
8,105,0,105,7,7,0,0
9,98,1,99,25,25,0,0
10,74,25,99,32,32,0,0
11,67,0,67,134,67,67,0
12,0,2,2,377,2,375,0
13,0,147,147,581,147,434,0
14,0,0,0,534,0,534,0
15,0,580,580,465,465,0,0
16,115,1000,1115,519,519,0,0
17,596,707,1303,461,461,0,0
18,842,0,842,332,332,0,0
19,510,205,715,274,274,0,0
20,441,550,991,214,214,0,0
21,777,1000,1777,230,230,0,0
22,1547,196,1743,158,158,0,0
23,1585,161,1746,122,122,0,0
24,1624,0,1624,70,70,0,0
25,1554,0,1554,55,55,0,0
26,1499,0,1499,47,47,0,0
27,1452,0,1452,46,46,0,0
28,1406,0,1406,47,47,0,0
29,1359,0,1359,40,40,0,0
30,1319,0,1319,49,49,0,0
31,1270,0,1270,32,32,0,0
32,1238,0,1238,20,20,0,0
33,1218,0,1218,39,39,0,0
34,1179,0,1179,48,48,0,0
35,1131,0,1131,41,41,0,0
36,1090,0,1090,47,47,0,0
37,1043,0,1043,71,71,0,0
38,972,0,972,129,129,0,0
39,843,0,843,156,156,0,0
40,687,0,687,196,196,0,0
41,491,0,491,207,207,0,0
42,284,0,284,218,218,0,0
43,66,0,66,253,66,187,0
44,0,338,338,293,293,0,0
45,45,181,226,405,226,179,0
46,0,227,227,399,227,172,0
47,0,214,214,464,214,250,0
48,0,397,397,514,397,117,0
49,0,845,845,572,572,0,0
50,273,0,273,625,273,352,0
51,0,395,395,733,395,338,0
52,0,484,484,818,484,334,0
53,0,815,815,940,815,125,0
54,0,686,686,806,686,120,0
55,0,604,604,757,604,153,0
56,0,676,676,565,565,0,0
57,111,1000,1111,518,518,0,0
58,593,321,914,434,434,0,0
59,480,526,1006,383,383,0,0
60,623,417,1040,391,391,0,0
61,649,384,1033,386,386,0,0
62,647,239,886,459,459,0,0
63,427,157,584,553,553,0,0
64,31,221,252,669,252,417,0
65,0,231,231,899,231,668,0
66,0,647,647,1229,647,582,0
67,0,914,914,1511,914,597,0
68,0,721,721,1380,721,659,0
69,0,1000,1000,1197,1000,197,0
70,0,1000,1000,998,998,0,0
71,2,1000,1002,739,739,0,0
72,263,977,1240,625,625,0,0
73,615,1000,1615,408,408,0,0
74,1207,754,1961,320,320,0,0
75,1641,487,2128,255,255,0,0
76,1873,318,2191,190,190,0,0
77,2001,0,2001,160,160,0,0
78,1841,0,1841,117,117,0,0
79,1724,0,1724,103,103,0,0
80,1621,0,1621,80,80,0,0
81,1541,0,1541,63,63,0,0
82,1478,0,1478,55,55,0,0
83,1423,0,1423,93,93,0,0
84,1330,0,1330,112,112,0,0
85,1218,0,1218,179,179,0,0
86,1039,0,1039,224,224,0,0
87,815,0,815,261,261,0,0
88,554,0,554,226,226,0,0
89,328,0,328,213,213,0,0
90,115,202,317,212,212,0,0
91,105,253,358,180,180,0,0
92,178,0,178,178,178,0,0
93,0,234,234,164,164,0,0
94,70,177,247,164,164,0,0
95,83,324,407,125,125,0,0
96,282,0,282,170,170,0,0
97,112,118,230,205,205,0,0
98,25,132,157,199,157,42,0
99,0,79,79,206,79,127,0
100,0,218,218,238,218,20,0
101,0,276,276,280,276,4,0
102,0,159,159,317,159,158,0
103,0,142,142,405,142,263,0
104,0,302,302,953,302,651,0
105,0,421,421,1542,421,1121,0
106,0,265,265,1890,265,1625,0
107,0,576,576,1769,576,1193,0
108,0,1000,1000,1240,1000,240,0
109,0,1000,1000,910,910,0,0
110,90,1000,1090,633,633,0,0
111,457,1000,1457,467,467,0,0
112,990,1000,1990,387,387,0,0
113,1603,1000,2603,355,355,0,0
114,2248,365,2613,340,340,0,0
115,2273,0,2273,352,352,0,0
116,1921,0,1921,432,432,0,0
117,1489,0,1489,526,526,0,0
118,963,0,963,685,685,0,0
119,278,0,278,810,278,532,0
120,0,378,378,783,378,405,0
121,0,644,644,658,644,14,0
122,0,1000,1000,566,566,0,0
123,434,960,1394,445,445,0,0
124,949,0,949,409,409,0,0
125,540,268,808,283,283,0,0
126,525,468,993,247,247,0,0
127,746,937,1683,209,209,0,0
128,1474,0,1474,221,221,0,0
129,1253,0,1253,279,279,0,0
130,974,0,974,374,374,0,0
131,600,0,600,458,458,0,0
132,142,0,142,639,142,497,0
133,0,189,189,618,189,429,0
134,0,789,789,550,550,0,0
135,239,611,850,553,553,0,0
136,297,942,1239,459,459,0,0
137,780,0,780,548,548,0,0
138,232,205,437,469,437,32,0
139,0,512,512,478,478,0,0
140,34,533,567,459,459,0,0
141,108,675,783,428,428,0,0
142,355,0,355,521,355,166,0
143,0,412,412,574,412,162,0
144,0,449,449,612,449,163,0
145,0,317,317,757,317,440,0
146,0,579,579,697,579,118,0
147,0,476,476,690,476,214,0
148,0,795,795,660,660,0,0
149,135,720,855,535,535,0,0
150,320,622,942,403,403,0,0
151,539,298,837,415,415,0,0
152,422,369,791,387,387,0,0
153,404,441,845,385,385,0,0
154,460,272,732,444,444,0,0
155,288,278,566,481,481,0,0
156,85,357,442,569,442,127,0
157,0,117,117,553,117,436,0
158,0,618,618,380,380,0,0
159,238,461,699,354,354,0,0
160,345,862,1207,332,332,0,0
161,875,0,875,337,337,0,0
162,538,0,538,339,339,0,0
163,199,298,497,318,318,0,0
164,179,408,587,318,318,0,0
165,269,73,342,336,336,0,0
166,6,268,274,286,274,12,0
167,0,242,242,265,242,23,0
168,0,266,266,288,266,22,0
169,0,358,358,261,261,0,0
170,97,202,299,237,237,0,0
171,62,203,265,266,265,1,0
172,0,294,294,205,205,0,0
173,89,178,267,170,170,0,0
174,97,302,399,167,167,0,0
175,232,228,460,134,134,0,0
176,326,69,395,128,128,0,0
177,267,109,376,119,119,0,0
178,257,116,373,129,129,0,0
179,244,66,310,85,85,0,0
180,225,66,291,90,90,0,0
181,201,65,266,63,63,0,0
182,203,102,305,59,59,0,0
183,246,45,291,59,59,0,0
184,232,36,268,55,55,0,0
185,213,22,235,65,65,0,0
186,170,27,197,62,62,0,0
187,135,22,157,68,68,0,0
188,89,32,121,78,78,0,0
189,43,73,116,86,86,0,0
190,30,44,74,126,74,52,0
191,0,78,78,164,78,86,0
192,0,102,102,177,102,75,0
193,0,130,130,187,130,57,0
194,0,273,273,284,273,11,0
195,0,199,199,300,199,101,0
196,0,90,90,275,90,185,0
197,0,194,194,246,194,52,0
198,0,659,659,293,293,0,0
199,366,141,507,317,317,0,0
200,190,125,315,271,271,0,0
201,44,0,44,320,44,276,0
202,0,585,585,377,377,0,0
203,208,458,666,423,423,0,0
204,243,284,527,441,441,0,0
205,86,0,86,365,86,279,0
206,0,237,237,387,237,150,0
207,0,766,766,368,368,0,0
208,398,365,763,378,378,0,0
