Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,13,102,5,5,0,0
6,97,7,104,9,9,0,0
7,95,4,99,6,6,0,0
8,93,13,106,7,7,0,0
9,99,4,103,25,25,0,0
10,78,7,85,32,32,0,0
11,53,49,102,134,102,32,0
12,0,41,41,377,41,336,0
13,0,245,245,581,245,336,0
14,0,381,381,534,381,153,0
15,0,503,503,465,465,0,0
16,38,347,385,519,385,134,0
17,0,413,413,461,413,48,0
18,0,392,392,332,332,0,0
19,60,388,448,274,274,0,0
20,174,274,448,214,214,0,0
21,234,219,453,230,230,0,0
22,223,151,374,158,158,0,0
23,216,165,381,122,122,0,0
24,259,99,358,70,70,0,0
25,288,92,380,55,55,0,0
26,325,48,373,47,47,0,0
27,326,36,362,46,46,0,0
28,316,23,339,47,47,0,0
29,292,14,306,40,40,0,0
30,266,13,279,49,49,0,0
31,230,6,236,32,32,0,0
32,204,18,222,20,20,0,0
33,202,4,206,39,39,0,0
34,167,0,167,48,48,0,0
35,119,18,137,41,41,0,0
36,96,36,132,47,47,0,0
37,85,30,115,71,71,0,0
38,44,41,85,129,85,44,0
39,0,99,99,156,99,57,0
40,0,167,167,196,167,29,0
41,0,128,128,207,128,79,0
42,0,209,209,218,209,9,0
43,0,143,143,253,143,110,0
44,0,223,223,293,223,70,0
45,0,167,167,405,167,238,0
46,0,262,262,399,262,137,0
47,0,315,315,464,315,149,0
48,0,257,257,514,257,257,0
49,0,366,366,572,366,206,0
50,0,304,304,625,304,321,0
51,0,425,425,733,425,308,0
52,0,357,357,818,357,461,0
53,0,555,555,940,555,385,0
54,0,452,452,806,452,354,0
55,0,694,694,757,694,63,0
56,0,379,379,565,379,186,0
57,0,674,674,518,518,0,0
58,156,321,477,434,434,0,0
59,43,441,484,383,383,0,0
60,101,337,438,391,391,0,0
61,47,320,367,386,367,19,0
62,0,366,366,459,366,93,0
63,0,346,346,553,346,207,0
64,0,355,355,669,355,314,0
65,0,371,371,899,371,528,0
66,0,499,499,1229,499,730,0
67,0,663,663,1511,663,848,0
68,0,922,922,1380,922,458,0
69,0,982,982,1197,982,215,0
70,0,850,850,998,850,148,0
71,0,883,883,739,739,0,0
72,144,725,869,625,625,0,0
73,244,583,827,408,408,0,0
74,419,489,908,320,320,0,0
75,588,226,814,255,255,0,0
76,559,211,770,190,190,0,0
77,580,194,774,160,160,0,0
78,614,133,747,117,117,0,0
79,630,110,740,103,103,0,0
80,637,72,709,80,80,0,0
81,629,42,671,63,63,0,0
82,608,0,608,55,55,0,0
83,553,0,553,93,93,0,0
84,460,0,460,112,112,0,0
85,348,0,348,179,179,0,0
86,169,0,169,224,169,55,0
87,0,163,163,261,163,98,0
