Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,8,97,5,5,0,0
6,92,8,100,9,9,0,0
7,91,6,97,6,6,0,0
8,91,12,103,7,7,0,0
9,96,5,101,25,25,0,0
10,76,8,84,32,32,0,0
11,52,32,84,134,84,50,0
12,0,44,44,377,44,333,0
13,0,171,171,581,171,410,0
14,0,432,432,534,432,102,0
15,0,343,343,465,343,122,0
16,0,273,273,519,273,246,0
17,0,341,341,461,341,120,0
18,0,293,293,332,293,39,0
19,0,329,329,274,274,0,0
20,55,256,311,214,214,0,0
21,97,227,324,230,230,0,0
22,94,153,247,158,158,0,0
23,89,191,280,122,122,0,0
24,158,102,260,70,70,0,0
25,190,87,277,55,55,0,0
26,222,6,228,47,47,0,0
27,181,15,196,46,46,0,0
28,150,15,165,47,47,0,0
29,118,23,141,40,40,0,0
30,101,32,133,49,49,0,0
31,84,25,109,32,32,0,0
32,77,48,125,20,20,0,0
33,105,30,135,39,39,0,0
34,96,9,105,48,48,0,0
35,57,43,100,41,41,0,0
36,59,44,103,47,47,0,0
37,56,42,98,71,71,0,0
38,27,47,74,129,74,55,0
39,0,95,95,156,95,61,0
40,0,168,168,196,168,28,0
41,0,84,84,207,84,123,0
42,0,226,226,218,218,0,0
43,8,74,82,253,82,171,0
44,0,233,233,293,233,60,0
45,0,132,132,405,132,273,0
46,0,289,289,399,289,110,0
47,0,280,280,464,280,184,0
48,0,207,207,514,207,307,0
49,0,350,350,572,350,222,0
50,0,255,255,625,255,370,0
51,0,436,436,733,436,297,0
52,0,317,317,818,317,501,0
53,0,585,585,940,585,355,0
54,0,378,378,806,378,428,0
55,0,759,759,757,757,0,0
56,2,230,232,565,232,333,0
57,0,755,755,518,518,0,0
58,237,112,349,434,349,85,0
59,0,487,487,383,383,0,0
60,104,265,369,391,369,22,0
61,0,305,305,386,305,81,0
62,0,310,310,459,310,149,0
63,0,253,253,553,253,300,0
64,0,351,351,669,351,318,0
65,0,337,337,899,337,562,0
66,0,513,513,1229,513,716,0
67,0,668,668,1511,668,843,0
68,0,943,943,1380,943,437,0
69,0,852,852,1197,852,345,0
70,0,655,655,998,655,343,0
71,0,830,830,739,739,0,0
72,91,496,587,625,587,38,0
73,0,640,640,408,408,0,0
74,232,498,730,320,320,0,0
75,410,244,654,255,255,0,0
76,399,170,569,190,190,0,0
77,379,95,474,160,160,0,0
78,314,68,382,117,117,0,0
79,265,62,327,103,103,0,0
80,224,37,261,80,80,0,0
81,181,44,225,63,63,0,0
82,162,32,194,55,55,0,0
83,139,35,174,93,93,0,0
84,81,28,109,112,109,3,0
85,0,113,113,179,113,66,0
86,0,96,96,224,96,128,0
87,0,198,198,261,198,63,0
