Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,MODEL,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,10,4,3,100,None,3,5,None,None,True,76616,0,0,130979,54374,0:13
1,15,4,3,100,None,3,5,None,None,True,76616,0,0,130979,54374,0:21
1,10,4,3,100,None,1,5,None,None,True,76616,0,0,206004,129399,0:12
1,15,4,3,100,None,1,5,None,None,True,76616,0,0,206004,129399,0:21
1,10,4,3,100,None,5,5,None,None,True,76177,439,0,112703,36537,0:14
1,15,4,3,100,None,5,5,None,None,True,76177,439,0,112703,36537,0:23
1,10,4,3,100,None,1,4,None,None,True,76053,563,0,104173,28131,0:12
1,15,4,3,100,None,1,4,None,None,True,76053,563,0,104173,28131,0:18
1,5,4,3,100,None,1,4,None,None,True,75841,775,0,103961,28131,0:05
1,5,4,3,100,None,1,5,None,None,True,75841,775,0,103961,28131,0:05
1,15,4,3,100,None,10,5,None,None,True,75715,901,0,96029,20325,0:23
1,10,4,3,100,None,10,5,None,None,True,75675,941,0,94951,19287,0:14
1,10,4,3,100,None,3,4,None,None,True,75569,1047,0,89414,13856,0:12
1,15,4,3,100,None,3,4,None,None,True,75569,1047,0,89414,13856,0:19
1,10,4,3,100,None,5,4,None,None,True,75392,1224,0,83971,8590,0:11
1,15,4,3,100,None,5,4,None,None,True,75392,1224,0,83971,8590,0:18
1,5,4,3,100,None,3,4,None,None,True,75172,1444,0,84331,9170,0:04
1,5,4,3,100,None,3,5,None,None,True,75172,1444,0,84331,9170,0:04
1,5,4,3,100,None,5,4,None,None,True,74950,1666,0,80474,5535,0:04
1,5,4,3,100,None,5,5,None,None,True,74950,1666,0,80474,5535,0:04
1,5,4,3,100,None,1,3,None,None,True,73035,3581,0,79830,6806,0:04
1,10,4,3,100,None,1,3,None,None,True,73035,3581,0,79830,6806,0:09
1,15,4,3,100,None,1,3,None,None,True,73035,3581,0,79830,6806,0:14
1,15,4,3,100,None,10,4,None,None,True,73004,3612,0,77300,4307,0:18
1,10,4,3,100,None,10,4,None,None,True,72331,4285,0,76434,4114,0:11
1,15,4,3,100,None,3,3,None,None,True,68671,7945,0,71948,3288,0:15
1,10,4,3,100,None,3,3,None,None,True,67465,9151,0,70742,3288,0:10
1,5,4,3,100,None,3,3,None,None,True,66951,9665,0,70228,3288,0:04
1,5,4,3,100,None,10,4,None,None,True,66594,10022,0,68705,2122,0:04
1,5,4,3,100,None,10,5,None,None,True,66594,10022,0,68705,2122,0:04
1,15,4,3,100,None,5,3,None,None,True,66557,10059,0,68307,1761,0:14
1,10,4,3,100,None,5,3,None,None,True,65429,11187,0,67179,1761,0:10
1,15,4,3,100,None,10,3,None,None,True,64779,11837,0,65551,783,0:16
1,10,4,3,100,None,1,2,None,None,True,64449,12167,0,65476,1038,0:08
1,15,4,3,100,None,1,2,None,None,True,64449,12167,0,65476,1038,0:12
1,5,4,3,100,None,1,2,None,None,True,64029,12587,0,65056,1038,0:04
1,10,4,3,100,None,10,3,None,None,True,63988,12628,0,64696,719,0:10
1,5,4,3,100,None,5,3,None,None,True,63974,12642,0,65566,1603,0:04
1,15,4,3,100,None,3,2,None,None,True,61386,15230,0,62192,817,0:12
1,10,4,3,100,None,3,2,None,None,True,61253,15363,0,62059,817,0:07
1,5,4,3,100,None,3,2,None,None,True,60419,16197,0,61229,821,0:04
1,15,4,3,100,None,5,2,None,None,True,60064,16552,0,60816,763,0:13
1,10,4,3,100,None,5,2,None,None,True,59646,16970,0,60407,772,0:08
1,15,4,3,100,None,10,2,None,None,True,58704,17912,0,59354,661,0:12
1,5,4,3,100,None,10,3,None,None,True,58417,18199,0,58773,367,0:05
1,10,4,3,100,None,10,2,None,None,True,57619,18997,0,58323,715,0:08
1,15,4,3,100,None,1,1,None,None,True,57167,19449,0,57652,496,0:08
1,5,4,3,100,None,5,2,None,None,True,57141,19475,0,57972,842,0:04
1,10,4,3,100,None,1,1,None,None,True,56630,19986,0,57246,627,0:06
1,15,4,3,100,None,3,1,None,None,True,56375,20241,0,56707,343,0:08
1,15,4,3,100,None,5,1,None,None,True,55675,20941,0,55917,253,0:08
1,10,4,3,100,None,3,1,None,None,True,55543,21073,0,56053,521,0:06
1,5,4,3,100,None,1,1,None,None,True,55363,21253,0,56013,661,0:03
1,10,4,3,100,None,5,1,None,None,True,54613,22003,0,55027,425,0:05
1,5,4,3,100,None,3,1,None,None,True,53881,22735,0,54494,624,0:03
1,15,4,3,100,None,10,1,None,None,True,53780,22836,0,54001,232,0:09
1,5,4,3,100,None,10,2,None,None,True,52037,24579,0,52675,649,0:03
1,5,4,3,100,None,5,1,None,None,True,51998,24618,0,52392,405,0:03
1,10,4,3,100,None,10,1,None,None,True,51753,24863,0,52058,316,0:05
1,5,4,3,100,None,10,1,None,None,True,44957,31659,0,45064,118,0:03
