Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,8,2,2,500,None,All,2,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],63047,13569,0,63352,305,0:06
1,8,2,2,500,None,All,1,[P-[1]_D-[1]]_Q-[1]],None,62656,13960,0,62939,283,0:55
1,8,2,2,500,None,All,1,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],62349,14267,0,62611,262,1:00
1,8,2,2,500,None,5,None,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],62306,14310,0,62561,255,0:03
1,8,2,2,500,None,All,None,[P-[1]_D-[1]]_Q-[1]],None,61829,14787,0,62025,196,0:58
1,8,2,2,500,None,All,1,None,None,61806,14810,0,62074,268,0:04
1,8,2,2,500,None,All,None,[P-[1]_D-[1]]_Q-[1]],[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],61776,14840,0,61953,177,0:56
1,8,2,2,500,None,All,1,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],61660,14956,0,61906,246,0:04
1,8,2,2,500,None,10,None,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],61154,15462,0,61365,211,0:03
1,8,2,2,500,None,All,None,None,[C-[100]_Gamma-['scale']]_Epsilon-[0.1]],59620,16996,0,59740,120,0:03
