Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,26,115,5,5,0,0
6,110,0,110,9,9,0,0
7,101,0,101,6,6,0,0
8,95,24,119,7,7,0,0
9,112,0,112,25,25,0,0
10,87,12,99,32,32,0,0
11,67,75,142,134,134,0,0
12,8,12,20,377,20,357,0
13,0,518,518,581,518,63,0
14,0,438,438,534,438,96,0
15,0,597,597,465,465,0,0
16,132,270,402,519,402,117,0
17,0,362,362,461,362,99,0
18,0,647,647,332,332,0,0
19,315,0,315,274,274,0,0
20,41,248,289,214,214,0,0
21,75,240,315,230,230,0,0
22,85,145,230,158,158,0,0
23,72,271,343,122,122,0,0
24,221,0,221,70,70,0,0
25,151,125,276,55,55,0,0
26,221,0,221,47,47,0,0
27,174,9,183,46,46,0,0
28,137,8,145,47,47,0,0
29,98,26,124,40,40,0,0
30,84,32,116,49,49,0,0
31,67,31,98,32,32,0,0
32,66,100,166,20,20,0,0
33,146,0,146,39,39,0,0
34,107,0,107,48,48,0,0
35,59,113,172,41,41,0,0
36,131,9,140,47,47,0,0
37,93,15,108,71,71,0,0
38,37,87,124,129,124,5,0
39,0,114,114,156,114,42,0
40,0,224,224,196,196,0,0
41,28,97,125,207,125,82,0
42,0,269,269,218,218,0,0
43,51,85,136,253,136,117,0
44,0,222,222,293,222,71,0
45,0,219,219,405,219,186,0
46,0,235,235,399,235,164,0
47,0,521,521,464,464,0,0
48,57,54,111,514,111,403,0
49,0,778,778,572,572,0,0
50,206,6,212,625,212,413,0
51,0,550,550,733,550,183,0
52,0,239,239,818,239,579,0
53,0,818,818,940,818,122,0
54,0,221,221,806,221,585,0
55,0,1038,1038,757,757,0,0
56,281,18,299,565,299,266,0
57,0,935,935,518,518,0,0
58,417,0,417,434,417,17,0
59,0,587,587,383,383,0,0
60,204,129,333,391,333,58,0
61,0,299,299,386,299,87,0
62,0,321,321,459,321,138,0
63,0,218,218,553,218,335,0
64,0,584,584,669,584,85,0
65,0,246,246,899,246,653,0
66,0,694,694,1229,694,535,0
67,0,742,742,1511,742,769,0
68,0,1088,1088,1380,1088,292,0
69,0,944,944,1197,944,253,0
70,0,904,904,998,904,94,0
71,0,664,664,739,664,75,0
72,0,708,708,625,625,0,0
73,83,557,640,408,408,0,0
74,232,448,680,320,320,0,0
75,360,214,574,255,255,0,0
76,319,144,463,190,190,0,0
77,273,107,380,160,160,0,0
78,220,80,300,117,117,0,0
79,183,67,250,103,103,0,0
80,147,59,206,80,80,0,0
81,126,59,185,63,63,0,0
82,122,45,167,55,55,0,0
83,112,38,150,93,93,0,0
84,57,34,91,112,91,21,0
85,0,224,224,179,179,0,0
86,45,44,89,224,89,135,0
87,0,373,373,261,261,0,0
