Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,16,105,5,5,0,0
6,100,6,106,9,9,0,0
7,97,3,100,6,6,0,0
8,94,14,108,7,7,0,0
9,101,2,103,25,25,0,0
10,78,8,86,32,32,0,0
11,54,60,114,134,114,20,0
12,0,36,36,377,36,341,0
13,0,312,312,581,312,269,0
14,0,454,454,534,454,80,0
15,0,529,529,465,465,0,0
16,64,385,449,519,449,70,0
17,0,356,356,461,356,105,0
18,0,442,442,332,332,0,0
19,110,288,398,274,274,0,0
20,124,232,356,214,214,0,0
21,142,194,336,230,230,0,0
22,106,166,272,158,158,0,0
23,114,204,318,122,122,0,0
24,196,114,310,70,70,0,0
25,240,72,312,55,55,0,0
26,257,21,278,47,47,0,0
27,231,11,242,46,46,0,0
28,196,9,205,47,47,0,0
29,158,15,173,40,40,0,0
30,133,25,158,49,49,0,0
31,109,25,134,32,32,0,0
32,102,45,147,20,20,0,0
33,127,12,139,39,39,0,0
34,100,6,106,48,48,0,0
35,58,55,113,41,41,0,0
36,72,56,128,47,47,0,0
37,81,28,109,71,71,0,0
38,38,52,90,129,90,39,0
39,0,110,110,156,110,46,0
40,0,189,189,196,189,7,0
41,0,126,126,207,126,81,0
42,0,230,230,218,218,0,0
43,12,135,147,253,147,106,0
44,0,222,222,293,222,71,0
45,0,174,174,405,174,231,0
46,0,267,267,399,267,132,0
47,0,367,367,464,367,97,0
48,0,218,218,514,218,296,0
49,0,432,432,572,432,140,0
50,0,259,259,625,259,366,0
51,0,484,484,733,484,249,0
52,0,306,306,818,306,512,0
53,0,644,644,940,644,296,0
54,0,388,388,806,388,418,0
55,0,787,787,757,757,0,0
56,30,285,315,565,315,250,0
57,0,708,708,518,518,0,0
58,190,189,379,434,379,55,0
59,0,446,446,383,383,0,0
60,63,339,402,391,391,0,0
61,11,334,345,386,345,41,0
62,0,339,339,459,339,120,0
63,0,290,290,553,290,263,0
64,0,372,372,669,372,297,0
65,0,414,414,899,414,485,0
66,0,517,517,1229,517,712,0
67,0,746,746,1511,746,765,0
68,0,970,970,1380,970,410,0
69,0,1046,1046,1197,1046,151,0
70,0,840,840,998,840,158,0
71,0,875,875,739,739,0,0
72,136,649,785,625,625,0,0
73,160,516,676,408,408,0,0
74,268,484,752,320,320,0,0
75,432,318,750,255,255,0,0
76,495,208,703,190,190,0,0
77,513,126,639,160,160,0,0
78,479,54,533,117,117,0,0
79,416,37,453,103,103,0,0
80,350,11,361,80,80,0,0
81,281,20,301,63,63,0,0
82,238,16,254,55,55,0,0
83,199,15,214,93,93,0,0
84,121,19,140,112,112,0,0
85,28,107,135,179,135,44,0
86,0,124,124,224,124,100,0
87,0,235,235,261,235,26,0
