Date,1,2,3,4
2023-03-11,21,72,236,93
2023-03-18,-23,-19,9,8
2023-03-25,114,127,286,276
2023-04-01,138,122,342,369
2023-04-08,9,154,323,242
2023-04-15,170,250,483,571
2023-04-22,80,83,154,451
2023-04-29,53,119,196,202
2023-05-06,241,488,369,240
2023-05-13,6,128,374,164
2023-05-20,116,27,88,202
2023-05-27,246,411,425,258
2023-06-03,290,200,387,328
2023-06-10,285,82,163,479
2023-06-17,312,113,194,139
2023-06-24,316,117,62,512
2023-07-01,316,121,56,34
2023-07-08,9,17,53,25
2023-07-15,310,-7,40,-23
2023-07-22,313,0,27,-35
2023-07-29,307,-1,18,-83
2023-08-05,-11,11,-40,-79
2023-08-12,19,23,-101,-112
2023-08-19,249,-55,-92,-29
2023-08-26,-39,-90,-151,-309
2023-09-02,-14,-37,-157,-293
2023-09-09,63,-51,-21,-82
2023-09-16,-34,-164,-234,-255
2023-09-23,121,50,229,133
2023-09-30,24,78,85,68
2023-10-07,129,86,194,73
2023-10-14,-18,15,-131,-151
2023-10-21,58,37,142,-40
2023-10-28,104,159,82,-16
2023-11-04,55,-72,-307,-314
2023-11-11,-2,-71,-191,-327
2023-11-18,-47,-111,-99,-109
2023-11-25,184,244,257,789
2023-12-02,260,298,330,852
2023-12-09,-12,-5,112,0
2023-12-16,53,304,0,0
2023-12-23,-10,0,0,0
