Date,1,2,3,4
2023-07-22,0,0,0,35
2023-07-29,0,1,0,83
2023-08-05,11,0,40,79
2023-08-12,0,0,101,112
2023-08-19,0,55,92,29
2023-08-26,39,90,151,309
2023-09-02,14,37,157,293
2023-09-09,0,51,21,82
2023-09-16,34,164,234,255
2023-09-23,0,0,0,0
2023-09-30,0,0,0,0
2023-10-07,0,0,0,0
2023-10-14,18,0,131,151
2023-10-21,0,0,0,40
2023-10-28,0,0,0,16
2023-11-04,0,72,307,314
2023-11-11,2,71,191,327
2023-11-18,47,111,99,109
2023-11-25,0,0,0,0
2023-12-02,0,0,0,0
2023-12-09,12,5,0,0
2023-12-16,0,0,0,0
2023-12-23,10,0,0,0
