Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
2020-03-21,449,900,1352,1804,2256,2708,3160,3612,4064,4517,4969,5421,5874,6326,6778,7230,7683,8135,8587,9040,9492,9944,10396,10849,11301,11753,12205,12658,13110,13562,14015,14467,14919,15371,15824,16276,16728,17181,17633,18085,18537,18990,19442,19894,20347,20799,21251,21703,22156,22608,23060,23513,23965,24417,24869,25322,25774,26226,26678,27131,27583,28035,28488,28940,29392,29844,30297,30749,31201,31654,32106,32558,33010,33463,33915,34367,34820,35272,35724,36176,36629,37081,37533,37986,38438,38890,39342,39795,40247,40699,41151,41604,42056,42508,42961,43413,43865,44317,44770,45222,45674,46127,46579,47031,47483,47936,48388,48840,49293,49745,50197,50649,51102,51554,52006,52459,52911,53363,53815,54268,54720,55172,55624,56077,56529,56981,57434,57886,58338,58790,59243,59695,60147,60600,61052,61504,61956,62409,62861,63313,63766,64218,64670,65122,65575,66027,66479,66932,67384,67836,68288,68741,69193,69645,70097,70550,71002,71454,71907,72359,72811,73263,73716,74168,74620,75073,75525,75977,76429,76882,77334,77786,78239,78691,79143,79595,80048,80500,80952,81405,81857,82309,82761,83214,83666,84118,84570,85023,85475,85927,86380,86832,87284,87736,88189,88641,89093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-03-28,1650,3308,4970,6635,8302,9971,11641,13311,14982,16653,18324,19995,21667,23338,25010,26681,28353,30024,31696,33367,35039,36710,38382,40053,41725,43396,45068,46739,48411,50082,51754,53425,55097,56768,58440,60111,61783,63454,65126,66797,68469,70140,71812,73483,75155,76826,78497,80169,81840,83512,85183,86855,88526,90198,91869,93541,95212,96884,98555,100227,101898,103570,105241,106913,108584,110256,111927,113599,115270,116942,118613,120285,121956,123628,125299,126971,128642,130314,131985,133657,135328,137000,138671,140343,142014,143686,145357,147029,148700,150372,152043,153715,155386,157058,158729,160401,162072,163744,165415,167087,168758,170430,172101,173773,175444,177116,178787,180459,182130,183802,185473,187145,188816,190488,192159,193831,195502,197174,198845,200517,202188,203860,205531,207203,208874,210546,212217,213889,215560,217232,218903,220575,222246,223918,225589,227261,228932,230604,232275,233947,235618,237290,238961,240633,242304,243976,245647,247319,248990,250662,252333,254005,255676,257348,259019,260691,262362,264034,265705,267377,269048,270720,272391,274063,275734,277406,279077,280749,282420,284092,285763,287435,289106,290778,292449,294121,295792,297464,299135,300807,302478,304150,305821,307493,309164,310836,312507,314179,315850,317522,319193,320865,322536,324208,325879,327551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-04,581,1162,1743,2324,2905,3486,4067,4648,5229,5810,6391,6972,7553,8134,8715,9296,9877,10458,11039,11620,12201,12782,13363,13944,14525,15106,15687,16268,16849,17430,18011,18592,19173,19754,20335,20916,21497,22078,22659,23240,23821,24402,24983,25564,26145,26726,27307,27888,28469,29050,29631,30212,30793,31374,31955,32536,33117,33698,34279,34860,35441,36022,36603,37184,37765,38346,38927,39508,40089,40670,41251,41832,42413,42994,43575,44156,44737,45318,45899,46480,47061,47642,48223,48804,49385,49966,50547,51128,51709,52290,52871,53452,54033,54614,55195,55776,56357,56938,57519,58100,58681,59262,59843,60424,61005,61586,62167,62748,63329,63910,64491,65072,65653,66234,66815,67396,67977,68558,69139,69720,70301,70882,71463,72044,72625,73206,73787,74368,74949,75530,76111,76692,77273,77854,78435,79016,79597,80178,80759,81340,81921,82502,83083,83664,84245,84826,85407,85988,86569,87150,87731,88312,88893,89474,90055,90636,91217,91798,92379,92960,93541,94122,94703,95284,95865,96446,97027,97608,98189,98770,99351,99932,100513,101094,101675,102256,102837,103418,103999,104580,105161,105742,106323,106904,107485,108066,108647,109228,109809,110390,110971,111552,112133,112714,113295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-11,534,1068,1602,2136,2670,3204,3738,4272,4806,5340,5874,6408,6942,7476,8010,8544,9078,9612,10146,10680,11214,11748,12282,12816,13350,13884,14418,14952,15486,16020,16554,17088,17622,18156,18690,19224,19758,20292,20826,21360,21894,22428,22962,23496,24030,24564,25098,25632,26166,26700,27234,27768,28302,28836,29370,29904,30438,30972,31506,32040,32574,33108,33642,34176,34710,35244,35778,36312,36846,37380,37914,38448,38982,39516,40050,40584,41118,41652,42186,42720,43254,43788,44322,44856,45390,45924,46458,46992,47526,48060,48594,49128,49662,50196,50730,51264,51798,52332,52866,53400,53934,54468,55002,55536,56070,56604,57138,57672,58206,58740,59274,59808,60342,60876,61410,61944,62478,63012,63546,64080,64614,65148,65682,66216,66750,67284,67818,68352,68886,69420,69954,70488,71022,71556,72090,72624,73158,73692,74226,74760,75294,75828,76362,76896,77430,77964,78498,79032,79566,80100,80634,81168,81702,82236,82770,83304,83838,84372,84906,85440,85974,86508,87042,87576,88110,88644,89178,89712,90246,90780,91314,91848,92382,92916,93450,93984,94518,95052,95586,96120,96654,97188,97722,98256,98790,99324,99858,100392,100926,101460,101994,102528,103062,103596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-18,775,1556,2351,3143,3925,4709,5501,6291,7077,7863,8653,9442,10229,11016,11805,12594,13382,14169,14958,15746,16534,17322,18110,18899,19687,20475,21263,22052,22840,23628,24416,25204,25992,26780,27569,28357,29145,29933,30721,31510,32298,33086,33874,34662,35450,36239,37027,37815,38603,39391,40179,40968,41756,42544,43332,44120,44909,45697,46485,47273,48061,48849,49638,50426,51214,52002,52790,53579,54367,55155,55943,56731,57519,58308,59096,59884,60672,61460,62248,63037,63825,64613,65401,66189,66978,67766,68554,69342,70130,70918,71707,72495,73283,74071,74859,75647,76436,77224,78012,78800,79588,80377,81165,81953,82741,83529,84317,85106,85894,86682,87470,88258,89046,89835,90623,91411,92199,92987,93776,94564,95352,96140,96928,97716,98505,99293,100081,100869,101657,102446,103234,104022,104810,105598,106386,107175,107963,108751,109539,110327,111115,111904,112692,113480,114268,115056,115845,116633,117421,118209,118997,119785,120574,121362,122150,122938,123726,124514,125303,126091,126879,127667,128455,129244,130032,130820,131608,132396,133184,133973,134761,135549,136337,137125,137913,138702,139490,140278,141066,141854,142643,143431,144219,145007,145795,146583,147372,148160,148948,149736,150524,151313,152101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-25,519,1038,1557,2076,2595,3114,3633,4152,4671,5190,5709,6228,6747,7266,7785,8304,8823,9342,9861,10380,10899,11418,11937,12456,12975,13494,14013,14532,15051,15570,16089,16608,17127,17646,18165,18684,19203,19722,20241,20760,21279,21798,22317,22836,23355,23874,24393,24912,25431,25950,26469,26988,27507,28026,28545,29064,29583,30102,30621,31140,31659,32178,32697,33216,33735,34254,34773,35292,35811,36330,36849,37368,37887,38406,38925,39444,39963,40482,41001,41520,42039,42558,43077,43596,44115,44634,45153,45672,46191,46710,47229,47748,48267,48786,49305,49824,50343,50862,51381,51900,52419,52938,53457,53976,54495,55014,55533,56052,56571,57090,57609,58128,58647,59166,59685,60204,60723,61242,61761,62280,62799,63318,63837,64356,64875,65394,65913,66432,66951,67470,67989,68508,69027,69546,70065,70584,71103,71622,72141,72660,73179,73698,74217,74736,75255,75774,76293,76812,77331,77850,78369,78888,79407,79926,80445,80964,81483,82002,82521,83040,83559,84078,84597,85116,85635,86154,86673,87192,87711,88230,88749,89268,89787,90306,90825,91344,91863,92382,92901,93420,93939,94458,94977,95496,96015,96534,97053,97572,98091,98610,99129,99648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-02,461,922,1383,1844,2305,2766,3227,3688,4149,4610,5071,5532,5993,6454,6915,7376,7837,8298,8759,9220,9681,10142,10603,11064,11525,11986,12447,12908,13369,13830,14291,14752,15213,15674,16135,16596,17057,17518,17979,18440,18901,19362,19823,20284,20745,21206,21667,22128,22589,23050,23511,23972,24433,24894,25355,25816,26277,26738,27199,27660,28121,28582,29043,29504,29965,30426,30887,31348,31809,32270,32731,33192,33653,34114,34575,35036,35497,35958,36419,36880,37341,37802,38263,38724,39185,39646,40107,40568,41029,41490,41951,42412,42873,43334,43795,44256,44717,45178,45639,46100,46561,47022,47483,47944,48405,48866,49327,49788,50249,50710,51171,51632,52093,52554,53015,53476,53937,54398,54859,55320,55781,56242,56703,57164,57625,58086,58547,59008,59469,59930,60391,60852,61313,61774,62235,62696,63157,63618,64079,64540,65001,65462,65923,66384,66845,67306,67767,68228,68689,69150,69611,70072,70533,70994,71455,71916,72377,72838,73299,73760,74221,74682,75143,75604,76065,76526,76987,77448,77909,78370,78831,79292,79753,80214,80675,81136,81597,82058,82519,82980,83441,83902,84363,84824,85285,85746,86207,86668,87129,87590,88051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-09,332,664,996,1328,1660,1992,2324,2656,2988,3320,3652,3984,4316,4648,4980,5312,5644,5976,6308,6640,6972,7304,7636,7968,8300,8632,8964,9296,9628,9960,10292,10624,10956,11288,11620,11952,12284,12616,12948,13280,13612,13944,14276,14608,14940,15272,15604,15936,16268,16600,16932,17264,17596,17928,18260,18592,18924,19256,19588,19920,20252,20584,20916,21248,21580,21912,22244,22576,22908,23240,23572,23904,24236,24568,24900,25232,25564,25896,26228,26560,26892,27224,27556,27888,28220,28552,28884,29216,29548,29880,30212,30544,30876,31208,31540,31872,32204,32536,32868,33200,33532,33864,34196,34528,34860,35192,35524,35856,36188,36520,36852,37184,37516,37848,38180,38512,38844,39176,39508,39840,40172,40504,40836,41168,41500,41832,42164,42496,42828,43160,43492,43824,44156,44488,44820,45152,45484,45816,46148,46480,46812,47144,47476,47808,48140,48472,48804,49136,49468,49800,50132,50464,50796,51128,51460,51792,52124,52456,52788,53120,53452,53784,54116,54448,54780,55112,55444,55776,56108,56440,56772,57104,57436,57768,58100,58432,58764,59096,59428,59760,60092,60424,60756,61088,61420,61752,62084,62416,62748,63080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-16,288,562,836,1110,1384,1658,1932,2206,2480,2754,3028,3302,3576,3850,4124,4398,4672,4949,5229,5503,5777,6051,6325,6599,6873,7147,7421,7695,7969,8243,8517,8791,9065,9339,9613,9887,10161,10435,10709,10983,11257,11531,11805,12079,12353,12627,12901,13175,13449,13723,13997,14271,14545,14819,15093,15367,15641,15915,16189,16463,16737,17011,17285,17559,17833,18107,18381,18655,18929,19203,19477,19751,20025,20299,20573,20847,21121,21395,21669,21943,22217,22491,22765,23039,23313,23587,23861,24135,24409,24683,24957,25231,25505,25779,26053,26327,26601,26875,27149,27423,27697,27971,28245,28519,28793,29067,29341,29615,29889,30163,30437,30711,30985,31259,31533,31807,32081,32355,32629,32903,33177,33451,33725,33999,34273,34547,34821,35095,35369,35643,35917,36191,36465,36739,37013,37287,37561,37835,38109,38383,38657,38931,39205,39479,39753,40027,40301,40575,40849,41123,41397,41671,41945,42219,42493,42767,43041,43315,43589,43863,44137,44411,44685,44959,45233,45507,45781,46055,46329,46603,46877,47151,47425,47699,47973,48247,48521,48795,49069,49343,49617,49891,50165,50439,50713,50987,51261,51535,51809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-23,214,428,642,856,1070,1284,1498,1712,1926,2140,2354,2568,2784,3026,3288,3561,3836,4105,4361,4598,4812,5026,5240,5454,5668,5882,6096,6310,6524,6738,6952,7166,7380,7594,7808,8029,8257,8486,8713,8933,9147,9361,9575,9789,10003,10217,10431,10645,10859,11073,11287,11501,11715,11929,12143,12357,12571,12785,12999,13213,13427,13641,13855,14069,14283,14497,14711,14925,15139,15353,15567,15781,15995,16209,16423,16637,16851,17065,17279,17493,17707,17921,18135,18349,18563,18777,18991,19205,19419,19633,19847,20061,20275,20489,20703,20917,21131,21345,21559,21773,21987,22201,22415,22629,22843,23057,23271,23485,23699,23913,24127,24341,24555,24769,24983,25197,25411,25625,25839,26053,26267,26481,26695,26909,27123,27337,27551,27765,27979,28193,28407,28621,28835,29049,29263,29477,29691,29905,30119,30333,30547,30761,30975,31189,31403,31617,31831,32045,32259,32473,32687,32901,33115,33329,33543,33757,33971,34185,34399,34613,34827,35041,35255,35469,35683,35897,36111,36325,36539,36753,36967,37181,37395,37609,37823,38037,38251,38465,38679,38893,39107,39321,39535,39749,39963,40177,40391,40605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
