Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
2020-03-21,377,958,1492,1957,2476,2937,3269,3543,3757,3987,4145,4267,4337,4392,4439,4485,4532,4572,4621,4653,4673,4712,4760,4801,4848,4919,5048,5204,5400,5607,5825,6078,6371,6776,7175,7639,8153,8725,9350,10083,10901,11841,12647,13404,13969,14487,14921,15304,15695,16081,16540,17093,17762,18661,19890,21401,22781,23978,24976,25715,26340,26748,27068,27323,27513,27673,27790,27893,27973,28036,28091,28184,28296,28475,28699,28960,29186,29399,29611,29791,29969,30133,30297,30422,30592,30797,30996,31202,31440,31720,32037,32442,33395,34937,36827,38596,39836,40746,41379,41846,42233,42588,42928,43280,43712,44238,44923,45733,46516,47174,47740,48185,48594,48877,49124,49333,49554,49833,50207,50665,51304,51922,52472,53025,53484,54032,54501,54979,55438,55866,56387,56961,57573,58330,59027,59717,60377,60912,61315,61730,62117,62502,62946,63427,63996,64549,64929,65283,65615,65952,66291,66609,66927,67263,67549,67814,68102,68363,68600,68866,69071,69241,69408,69542,69670,69789,69918,70003,70093,70156,70215,70274,70329,70394,70456,70524,70602,70688,70814,70978,71155,71342,71626,71926,72201,72447,72740,73057,73328,73648,74025,74448,74889,75254,75641,76009,76387,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-03-28,581,1115,1580,2099,2560,2892,3166,3380,3610,3768,3890,3960,4015,4062,4108,4155,4195,4244,4276,4296,4335,4383,4424,4471,4542,4671,4827,5023,5230,5448,5701,5994,6399,6798,7262,7776,8348,8973,9706,10524,11464,12270,13027,13592,14110,14544,14927,15318,15704,16163,16716,17385,18284,19513,21024,22404,23601,24599,25338,25963,26371,26691,26946,27136,27296,27413,27516,27596,27659,27714,27807,27919,28098,28322,28583,28809,29022,29234,29414,29592,29756,29920,30045,30215,30420,30619,30825,31063,31343,31660,32065,33018,34560,36450,38219,39459,40369,41002,41469,41856,42211,42551,42903,43335,43861,44546,45356,46139,46797,47363,47808,48217,48500,48747,48956,49177,49456,49830,50288,50927,51545,52095,52648,53107,53655,54124,54602,55061,55489,56010,56584,57196,57953,58650,59340,60000,60535,60938,61353,61740,62125,62569,63050,63619,64172,64552,64906,65238,65575,65914,66232,66550,66886,67172,67437,67725,67986,68223,68489,68694,68864,69031,69165,69293,69412,69541,69626,69716,69779,69838,69897,69952,70017,70079,70147,70225,70311,70437,70601,70778,70965,71249,71549,71824,72070,72363,72680,72951,73271,73648,74071,74512,74877,75264,75632,76010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-04,534,999,1518,1979,2311,2585,2799,3029,3187,3309,3379,3434,3481,3527,3574,3614,3663,3695,3715,3754,3802,3843,3890,3961,4090,4246,4442,4649,4867,5120,5413,5818,6217,6681,7195,7767,8392,9125,9943,10883,11689,12446,13011,13529,13963,14346,14737,15123,15582,16135,16804,17703,18932,20443,21823,23020,24018,24757,25382,25790,26110,26365,26555,26715,26832,26935,27015,27078,27133,27226,27338,27517,27741,28002,28228,28441,28653,28833,29011,29175,29339,29464,29634,29839,30038,30244,30482,30762,31079,31484,32437,33979,35869,37638,38878,39788,40421,40888,41275,41630,41970,42322,42754,43280,43965,44775,45558,46216,46782,47227,47636,47919,48166,48375,48596,48875,49249,49707,50346,50964,51514,52067,52526,53074,53543,54021,54480,54908,55429,56003,56615,57372,58069,58759,59419,59954,60357,60772,61159,61544,61988,62469,63038,63591,63971,64325,64657,64994,65333,65651,65969,66305,66591,66856,67144,67405,67642,67908,68113,68283,68450,68584,68712,68831,68960,69045,69135,69198,69257,69316,69371,69436,69498,69566,69644,69730,69856,70020,70197,70384,70668,70968,71243,71489,71782,72099,72370,72690,73067,73490,73931,74296,74683,75051,75429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-11,465,984,1445,1777,2051,2265,2495,2653,2775,2845,2900,2947,2993,3040,3080,3129,3161,3181,3220,3268,3309,3356,3427,3556,3712,3908,4115,4333,4586,4879,5284,5683,6147,6661,7233,7858,8591,9409,10349,11155,11912,12477,12995,13429,13812,14203,14589,15048,15601,16270,17169,18398,19909,21289,22486,23484,24223,24848,25256,25576,25831,26021,26181,26298,26401,26481,26544,26599,26692,26804,26983,27207,27468,27694,27907,28119,28299,28477,28641,28805,28930,29100,29305,29504,29710,29948,30228,30545,30950,31903,33445,35335,37104,38344,39254,39887,40354,40741,41096,41436,41788,42220,42746,43431,44241,45024,45682,46248,46693,47102,47385,47632,47841,48062,48341,48715,49173,49812,50430,50980,51533,51992,52540,53009,53487,53946,54374,54895,55469,56081,56838,57535,58225,58885,59420,59823,60238,60625,61010,61454,61935,62504,63057,63437,63791,64123,64460,64799,65117,65435,65771,66057,66322,66610,66871,67108,67374,67579,67749,67916,68050,68178,68297,68426,68511,68601,68664,68723,68782,68837,68902,68964,69032,69110,69196,69322,69486,69663,69850,70134,70434,70709,70955,71248,71565,71836,72156,72533,72956,73397,73762,74149,74517,74895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-18,519,980,1312,1586,1800,2030,2188,2310,2380,2435,2482,2528,2575,2615,2664,2696,2716,2755,2803,2844,2891,2962,3091,3247,3443,3650,3868,4121,4414,4819,5218,5682,6196,6768,7393,8126,8944,9884,10690,11447,12012,12530,12964,13347,13738,14124,14583,15136,15805,16704,17933,19444,20824,22021,23019,23758,24383,24791,25111,25366,25556,25716,25833,25936,26016,26079,26134,26227,26339,26518,26742,27003,27229,27442,27654,27834,28012,28176,28340,28465,28635,28840,29039,29245,29483,29763,30080,30485,31438,32980,34870,36639,37879,38789,39422,39889,40276,40631,40971,41323,41755,42281,42966,43776,44559,45217,45783,46228,46637,46920,47167,47376,47597,47876,48250,48708,49347,49965,50515,51068,51527,52075,52544,53022,53481,53909,54430,55004,55616,56373,57070,57760,58420,58955,59358,59773,60160,60545,60989,61470,62039,62592,62972,63326,63658,63995,64334,64652,64970,65306,65592,65857,66145,66406,66643,66909,67114,67284,67451,67585,67713,67832,67961,68046,68136,68199,68258,68317,68372,68437,68499,68567,68645,68731,68857,69021,69198,69385,69669,69969,70244,70490,70783,71100,71371,71691,72068,72491,72932,73297,73684,74052,74430,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-04-25,461,793,1067,1281,1511,1669,1791,1861,1916,1963,2009,2056,2096,2145,2177,2197,2236,2284,2325,2372,2443,2572,2728,2924,3131,3349,3602,3895,4300,4699,5163,5677,6249,6874,7607,8425,9365,10171,10928,11493,12011,12445,12828,13219,13605,14064,14617,15286,16185,17414,18925,20305,21502,22500,23239,23864,24272,24592,24847,25037,25197,25314,25417,25497,25560,25615,25708,25820,25999,26223,26484,26710,26923,27135,27315,27493,27657,27821,27946,28116,28321,28520,28726,28964,29244,29561,29966,30919,32461,34351,36120,37360,38270,38903,39370,39757,40112,40452,40804,41236,41762,42447,43257,44040,44698,45264,45709,46118,46401,46648,46857,47078,47357,47731,48189,48828,49446,49996,50549,51008,51556,52025,52503,52962,53390,53911,54485,55097,55854,56551,57241,57901,58436,58839,59254,59641,60026,60470,60951,61520,62073,62453,62807,63139,63476,63815,64133,64451,64787,65073,65338,65626,65887,66124,66390,66595,66765,66932,67066,67194,67313,67442,67527,67617,67680,67739,67798,67853,67918,67980,68048,68126,68212,68338,68502,68679,68866,69150,69450,69725,69971,70264,70581,70852,71172,71549,71972,72413,72778,73165,73533,73911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-02,332,606,820,1050,1208,1330,1400,1455,1502,1548,1595,1635,1684,1716,1736,1775,1823,1864,1911,1982,2111,2267,2463,2670,2888,3141,3434,3839,4238,4702,5216,5788,6413,7146,7964,8904,9710,10467,11032,11550,11984,12367,12758,13144,13603,14156,14825,15724,16953,18464,19844,21041,22039,22778,23403,23811,24131,24386,24576,24736,24853,24956,25036,25099,25154,25247,25359,25538,25762,26023,26249,26462,26674,26854,27032,27196,27360,27485,27655,27860,28059,28265,28503,28783,29100,29505,30458,32000,33890,35659,36899,37809,38442,38909,39296,39651,39991,40343,40775,41301,41986,42796,43579,44237,44803,45248,45657,45940,46187,46396,46617,46896,47270,47728,48367,48985,49535,50088,50547,51095,51564,52042,52501,52929,53450,54024,54636,55393,56090,56780,57440,57975,58378,58793,59180,59565,60009,60490,61059,61612,61992,62346,62678,63015,63354,63672,63990,64326,64612,64877,65165,65426,65663,65929,66134,66304,66471,66605,66733,66852,66981,67066,67156,67219,67278,67337,67392,67457,67519,67587,67665,67751,67877,68041,68218,68405,68689,68989,69264,69510,69803,70120,70391,70711,71088,71511,71952,72317,72704,73072,73450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-09,274,488,718,876,998,1068,1123,1170,1216,1263,1303,1352,1384,1404,1443,1491,1532,1579,1650,1779,1935,2131,2338,2556,2809,3102,3507,3906,4370,4884,5456,6081,6814,7632,8572,9378,10135,10700,11218,11652,12035,12426,12812,13271,13824,14493,15392,16621,18132,19512,20709,21707,22446,23071,23479,23799,24054,24244,24404,24521,24624,24704,24767,24822,24915,25027,25206,25430,25691,25917,26130,26342,26522,26700,26864,27028,27153,27323,27528,27727,27933,28171,28451,28768,29173,30126,31668,33558,35327,36567,37477,38110,38577,38964,39319,39659,40011,40443,40969,41654,42464,43247,43905,44471,44916,45325,45608,45855,46064,46285,46564,46938,47396,48035,48653,49203,49756,50215,50763,51232,51710,52169,52597,53118,53692,54304,55061,55758,56448,57108,57643,58046,58461,58848,59233,59677,60158,60727,61280,61660,62014,62346,62683,63022,63340,63658,63994,64280,64545,64833,65094,65331,65597,65802,65972,66139,66273,66401,66520,66649,66734,66824,66887,66946,67005,67060,67125,67187,67255,67333,67419,67545,67709,67886,68073,68357,68657,68932,69178,69471,69788,70059,70379,70756,71179,71620,71985,72372,72740,73118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-16,214,444,602,724,794,849,896,942,989,1029,1078,1110,1130,1169,1217,1258,1305,1376,1505,1661,1857,2064,2282,2535,2828,3233,3632,4096,4610,5182,5807,6540,7358,8298,9104,9861,10426,10944,11378,11761,12152,12538,12997,13550,14219,15118,16347,17858,19238,20435,21433,22172,22797,23205,23525,23780,23970,24130,24247,24350,24430,24493,24548,24641,24753,24932,25156,25417,25643,25856,26068,26248,26426,26590,26754,26879,27049,27254,27453,27659,27897,28177,28494,28899,29852,31394,33284,35053,36293,37203,37836,38303,38690,39045,39385,39737,40169,40695,41380,42190,42973,43631,44197,44642,45051,45334,45581,45790,46011,46290,46664,47122,47761,48379,48929,49482,49941,50489,50958,51436,51895,52323,52844,53418,54030,54787,55484,56174,56834,57369,57772,58187,58574,58959,59403,59884,60453,61006,61386,61740,62072,62409,62748,63066,63384,63720,64006,64271,64559,64820,65057,65323,65528,65698,65865,65999,66127,66246,66375,66460,66550,66613,66672,66731,66786,66851,66913,66981,67059,67145,67271,67435,67612,67799,68083,68383,68658,68904,69197,69514,69785,70105,70482,70905,71346,71711,72098,72466,72844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2020-05-23,230,388,510,580,635,682,728,775,815,864,896,916,955,1003,1044,1091,1162,1291,1447,1643,1850,2068,2321,2614,3019,3418,3882,4396,4968,5593,6326,7144,8084,8890,9647,10212,10730,11164,11547,11938,12324,12783,13336,14005,14904,16133,17644,19024,20221,21219,21958,22583,22991,23311,23566,23756,23916,24033,24136,24216,24279,24334,24427,24539,24718,24942,25203,25429,25642,25854,26034,26212,26376,26540,26665,26835,27040,27239,27445,27683,27963,28280,28685,29638,31180,33070,34839,36079,36989,37622,38089,38476,38831,39171,39523,39955,40481,41166,41976,42759,43417,43983,44428,44837,45120,45367,45576,45797,46076,46450,46908,47547,48165,48715,49268,49727,50275,50744,51222,51681,52109,52630,53204,53816,54573,55270,55960,56620,57155,57558,57973,58360,58745,59189,59670,60239,60792,61172,61526,61858,62195,62534,62852,63170,63506,63792,64057,64345,64606,64843,65109,65314,65484,65651,65785,65913,66032,66161,66246,66336,66399,66458,66517,66572,66637,66699,66767,66845,66931,67057,67221,67398,67585,67869,68169,68444,68690,68983,69300,69571,69891,70268,70691,71132,71497,71884,72252,72630,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
