Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,11,0,11,0,0,0,0
2,11,0,11,0,0,0,0
3,11,0,11,5,5,0,0
4,6,0,6,6,6,0,0
5,0,89,89,5,5,0,0
6,84,0,84,9,9,0,0
7,75,0,75,6,6,0,0
8,69,0,69,7,7,0,0
9,62,100,162,25,25,0,0
10,137,0,137,32,32,0,0
11,105,0,105,134,105,29,0
12,0,14,14,377,14,363,0
13,0,0,0,581,0,581,0
14,0,0,0,534,0,534,0
15,0,317,317,465,317,148,0
16,0,0,0,519,0,519,0
17,0,1755,1755,461,461,0,0
18,1294,3040,4334,332,332,0,0
19,4002,68,4070,274,274,0,0
20,3796,0,3796,214,214,0,0
21,3582,0,3582,230,230,0,0
22,3352,0,3352,158,158,0,0
23,3194,0,3194,122,122,0,0
24,3072,0,3072,70,70,0,0
25,3002,0,3002,55,55,0,0
26,2947,0,2947,47,47,0,0
27,2900,0,2900,46,46,0,0
28,2854,0,2854,47,47,0,0
29,2807,0,2807,40,40,0,0
30,2767,0,2767,49,49,0,0
31,2718,0,2718,32,32,0,0
32,2686,0,2686,20,20,0,0
33,2666,0,2666,39,39,0,0
34,2627,0,2627,48,48,0,0
35,2579,0,2579,41,41,0,0
36,2538,0,2538,47,47,0,0
37,2491,0,2491,71,71,0,0
38,2420,0,2420,129,129,0,0
39,2291,0,2291,156,156,0,0
40,2135,0,2135,196,196,0,0
41,1939,0,1939,207,207,0,0
42,1732,0,1732,218,218,0,0
43,1514,0,1514,253,253,0,0
44,1261,0,1261,293,293,0,0
45,968,0,968,405,405,0,0
46,563,0,563,399,399,0,0
47,164,0,164,464,164,300,0
48,0,0,0,514,0,514,0
49,0,278,278,572,278,294,0
50,0,557,557,625,557,68,0
51,0,1846,1846,733,733,0,0
52,1113,0,1113,818,818,0,0
53,295,82,377,940,377,563,0
54,0,32,32,806,32,774,0
55,0,563,563,757,563,194,0
56,0,635,635,565,565,0,0
57,70,1939,2009,518,518,0,0
58,1491,893,2384,434,434,0,0
59,1950,1183,3133,383,383,0,0
60,2750,0,2750,391,391,0,0
61,2359,0,2359,386,386,0,0
62,1973,0,1973,459,459,0,0
63,1514,0,1514,553,553,0,0
64,961,0,961,669,669,0,0
65,292,0,292,899,292,607,0
66,0,0,0,1229,0,1229,0
67,0,0,0,1511,0,1511,0
68,0,1563,1563,1380,1380,0,0
69,183,1155,1338,1197,1197,0,0
70,141,1255,1396,998,998,0,0
71,398,2697,3095,739,739,0,0
72,2356,2666,5022,625,625,0,0
73,4397,233,4630,408,408,0,0
74,4222,0,4222,320,320,0,0
75,3902,0,3902,255,255,0,0
76,3647,0,3647,190,190,0,0
77,3457,0,3457,160,160,0,0
78,3297,0,3297,117,117,0,0
79,3180,0,3180,103,103,0,0
80,3077,0,3077,80,80,0,0
81,2997,0,2997,63,63,0,0
82,2934,0,2934,55,55,0,0
83,2879,0,2879,93,93,0,0
84,2786,0,2786,112,112,0,0
85,2674,0,2674,179,179,0,0
86,2495,0,2495,224,224,0,0
87,2271,0,2271,261,261,0,0
88,2010,0,2010,226,226,0,0
89,1784,0,1784,213,213,0,0
90,1571,0,1571,212,212,0,0
91,1359,0,1359,180,180,0,0
92,1179,0,1179,178,178,0,0
93,1001,0,1001,164,164,0,0
94,837,0,837,164,164,0,0
95,673,0,673,125,125,0,0
96,548,0,548,170,170,0,0
97,378,0,378,205,205,0,0
98,173,0,173,199,173,26,0
99,0,0,0,206,0,206,0
100,0,192,192,238,192,46,0
101,0,0,0,280,0,280,0
102,0,908,908,317,317,0,0
103,591,260,851,405,405,0,0
104,446,0,446,953,446,507,0
105,0,0,0,1542,0,1542,0
106,0,313,313,1890,313,1577,0
107,0,340,340,1769,340,1429,0
108,0,318,318,1240,318,922,0
109,0,1419,1419,910,910,0,0
110,509,9400,9909,633,633,0,0
111,9276,2701,11977,467,467,0,0
112,11510,0,11510,387,387,0,0
113,11123,0,11123,355,355,0,0
114,10768,0,10768,340,340,0,0
115,10428,0,10428,352,352,0,0
116,10076,0,10076,432,432,0,0
117,9644,0,9644,526,526,0,0
118,9118,0,9118,685,685,0,0
119,8433,0,8433,810,810,0,0
120,7623,0,7623,783,783,0,0
121,6840,0,6840,658,658,0,0
122,6182,0,6182,566,566,0,0
123,5616,0,5616,445,445,0,0
124,5171,0,5171,409,409,0,0
125,4762,0,4762,283,283,0,0
126,4479,0,4479,247,247,0,0
127,4232,0,4232,209,209,0,0
128,4023,0,4023,221,221,0,0
129,3802,0,3802,279,279,0,0
130,3523,0,3523,374,374,0,0
131,3149,0,3149,458,458,0,0
132,2691,0,2691,639,639,0,0
133,2052,0,2052,618,618,0,0
134,1434,0,1434,550,550,0,0
135,884,0,884,553,553,0,0
136,331,0,331,459,331,128,0
137,0,306,306,548,306,242,0
138,0,2581,2581,469,469,0,0
139,2112,0,2112,478,478,0,0
140,1634,0,1634,459,459,0,0
141,1175,0,1175,428,428,0,0
142,747,0,747,521,521,0,0
143,226,1182,1408,574,574,0,0
144,834,0,834,612,612,0,0
145,222,0,222,757,222,535,0
146,0,0,0,697,0,697,0
147,0,5,5,690,5,685,0
148,0,2189,2189,660,660,0,0
149,1529,374,1903,535,535,0,0
150,1368,344,1712,403,403,0,0
151,1309,2040,3349,415,415,0,0
152,2934,0,2934,387,387,0,0
153,2547,0,2547,385,385,0,0
154,2162,0,2162,444,444,0,0
155,1718,0,1718,481,481,0,0
156,1237,0,1237,569,569,0,0
157,668,0,668,553,553,0,0
158,115,0,115,380,115,265,0
159,0,0,0,354,0,354,0
160,0,1087,1087,332,332,0,0
161,755,360,1115,337,337,0,0
162,778,1387,2165,339,339,0,0
163,1826,0,1826,318,318,0,0
164,1508,0,1508,318,318,0,0
165,1190,0,1190,336,336,0,0
166,854,0,854,286,286,0,0
167,568,0,568,265,265,0,0
168,303,0,303,288,288,0,0
169,15,0,15,261,15,246,0
170,0,289,289,237,237,0,0
171,52,622,674,266,266,0,0
172,408,0,408,205,205,0,0
173,203,114,317,170,170,0,0
174,147,679,826,167,167,0,0
175,659,0,659,134,134,0,0
176,525,0,525,128,128,0,0
177,397,436,833,119,119,0,0
178,714,0,714,129,129,0,0
179,585,0,585,85,85,0,0
180,500,0,500,90,90,0,0
181,410,0,410,63,63,0,0
182,347,0,347,59,59,0,0
183,288,0,288,59,59,0,0
184,229,260,489,55,55,0,0
185,434,0,434,65,65,0,0
186,369,44,413,62,62,0,0
187,351,0,351,68,68,0,0
188,283,0,283,78,78,0,0
189,205,0,205,86,86,0,0
190,119,0,119,126,119,7,0
191,0,103,103,164,103,61,0
192,0,0,0,177,0,177,0
193,0,70,70,187,70,117,0
194,0,172,172,284,172,112,0
195,0,93,93,300,93,207,0
196,0,716,716,275,275,0,0
197,441,216,657,246,246,0,0
198,411,0,411,293,293,0,0
199,118,0,118,317,118,199,0
200,0,1539,1539,271,271,0,0
201,1268,0,1268,320,320,0,0
202,948,0,948,377,377,0,0
203,571,0,571,423,423,0,0
204,148,359,507,441,441,0,0
205,66,6,72,365,72,293,0
206,0,0,0,387,0,387,0
207,0,736,736,368,368,0,0
208,368,852,1220,378,378,0,0
