Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,100,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,0,89,5,5,0,0
6,84,0,84,9,9,0,0
7,75,76,151,6,6,0,0
8,145,0,145,7,7,0,0
9,138,0,138,25,25,0,0
10,113,34,147,32,32,0,0
11,115,0,115,134,115,19,0
12,0,17,17,377,17,360,0
13,0,174,174,581,174,407,0
14,0,0,0,534,0,534,0
15,0,1393,1393,465,465,0,0
16,928,1027,1955,519,519,0,0
17,1436,139,1575,461,461,0,0
18,1114,0,1114,332,332,0,0
19,782,0,782,274,274,0,0
20,508,1245,1753,214,214,0,0
21,1539,0,1539,230,230,0,0
22,1309,0,1309,158,158,0,0
23,1151,0,1151,122,122,0,0
24,1029,0,1029,70,70,0,0
25,959,0,959,55,55,0,0
26,904,0,904,47,47,0,0
27,857,0,857,46,46,0,0
28,811,0,811,47,47,0,0
29,764,0,764,40,40,0,0
30,724,0,724,49,49,0,0
31,675,0,675,32,32,0,0
32,643,0,643,20,20,0,0
33,623,0,623,39,39,0,0
34,584,0,584,48,48,0,0
35,536,0,536,41,41,0,0
36,495,0,495,47,47,0,0
37,448,0,448,71,71,0,0
38,377,0,377,129,129,0,0
39,248,0,248,156,156,0,0
40,92,0,92,196,92,104,0
41,0,121,121,207,121,86,0
42,0,382,382,218,218,0,0
43,164,97,261,253,253,0,0
44,8,285,293,293,293,0,0
45,0,0,0,405,0,405,0
46,0,179,179,399,179,220,0
47,0,474,474,464,464,0,0
48,10,342,352,514,352,162,0
49,0,874,874,572,572,0,0
50,302,0,302,625,302,323,0
51,0,1226,1226,733,733,0,0
52,493,0,493,818,493,325,0
53,0,164,164,940,164,776,0
54,0,283,283,806,283,523,0
55,0,1471,1471,757,757,0,0
56,714,280,994,565,565,0,0
57,429,760,1189,518,518,0,0
58,671,0,671,434,434,0,0
59,237,1758,1995,383,383,0,0
60,1612,0,1612,391,391,0,0
61,1221,586,1807,386,386,0,0
62,1421,0,1421,459,459,0,0
63,962,0,962,553,553,0,0
64,409,0,409,669,409,260,0
65,0,80,80,899,80,819,0
66,0,963,963,1229,963,266,0
67,0,650,650,1511,650,861,0
68,0,786,786,1380,786,594,0
69,0,1106,1106,1197,1106,91,0
70,0,1718,1718,998,998,0,0
71,720,919,1639,739,739,0,0
72,900,482,1382,625,625,0,0
73,757,869,1626,408,408,0,0
74,1218,365,1583,320,320,0,0
75,1263,272,1535,255,255,0,0
76,1280,351,1631,190,190,0,0
77,1441,46,1487,160,160,0,0
78,1327,221,1548,117,117,0,0
79,1431,0,1431,103,103,0,0
80,1328,18,1346,80,80,0,0
81,1266,59,1325,63,63,0,0
82,1262,25,1287,55,55,0,0
83,1232,21,1253,93,93,0,0
84,1160,0,1160,112,112,0,0
85,1048,0,1048,179,179,0,0
86,869,0,869,224,224,0,0
87,645,0,645,261,261,0,0
88,384,0,384,226,226,0,0
89,158,318,476,213,213,0,0
90,263,0,263,212,212,0,0
91,51,200,251,180,180,0,0
92,71,208,279,178,178,0,0
93,101,374,475,164,164,0,0
94,311,61,372,164,164,0,0
95,208,0,208,125,125,0,0
96,83,340,423,170,170,0,0
97,253,0,253,205,205,0,0
98,48,66,114,199,114,85,0
99,0,37,37,206,37,169,0
100,0,1170,1170,238,238,0,0
101,932,0,932,280,280,0,0
102,652,0,652,317,317,0,0
103,335,0,335,405,335,70,0
104,0,52,52,953,52,901,0
105,0,320,320,1542,320,1222,0
106,0,338,338,1890,338,1552,0
107,0,948,948,1769,948,821,0
108,0,5930,5930,1240,1240,0,0
109,4690,0,4690,910,910,0,0
110,3780,0,3780,633,633,0,0
111,3147,27,3174,467,467,0,0
112,2707,17,2724,387,387,0,0
113,2337,937,3274,355,355,0,0
114,2919,0,2919,340,340,0,0
115,2579,0,2579,352,352,0,0
116,2227,0,2227,432,432,0,0
117,1795,195,1990,526,526,0,0
118,1464,407,1871,685,685,0,0
119,1186,370,1556,810,810,0,0
120,746,728,1474,783,783,0,0
121,691,803,1494,658,658,0,0
122,836,648,1484,566,566,0,0
123,918,224,1142,445,445,0,0
124,697,581,1278,409,409,0,0
125,869,524,1393,283,283,0,0
126,1110,53,1163,247,247,0,0
127,916,0,916,209,209,0,0
128,707,275,982,221,221,0,0
129,761,0,761,279,279,0,0
130,482,556,1038,374,374,0,0
131,664,0,664,458,458,0,0
132,206,0,206,639,206,433,0
133,0,305,305,618,305,313,0
134,0,734,734,550,550,0,0
135,184,762,946,553,553,0,0
136,393,1049,1442,459,459,0,0
137,983,0,983,548,548,0,0
138,435,0,435,469,435,34,0
139,0,781,781,478,478,0,0
140,303,0,303,459,303,156,0
141,0,2380,2380,428,428,0,0
142,1952,0,1952,521,521,0,0
143,1431,33,1464,574,574,0,0
144,890,0,890,612,612,0,0
145,278,0,278,757,278,479,0
146,0,1133,1133,697,697,0,0
147,436,0,436,690,436,254,0
148,0,447,447,660,447,213,0
149,0,1508,1508,535,535,0,0
150,973,0,973,403,403,0,0
151,570,1007,1577,415,415,0,0
152,1162,0,1162,387,387,0,0
153,775,0,775,385,385,0,0
154,390,0,390,444,390,54,0
155,0,1135,1135,481,481,0,0
156,654,0,654,569,569,0,0
157,85,0,85,553,85,468,0
158,0,561,561,380,380,0,0
159,181,541,722,354,354,0,0
160,368,884,1252,332,332,0,0
161,920,0,920,337,337,0,0
162,583,0,583,339,339,0,0
163,244,1586,1830,318,318,0,0
164,1512,0,1512,318,318,0,0
165,1194,0,1194,336,336,0,0
166,858,0,858,286,286,0,0
167,572,0,572,265,265,0,0
168,307,0,307,288,288,0,0
169,19,288,307,261,261,0,0
170,46,138,184,237,184,53,0
171,0,435,435,266,266,0,0
172,169,412,581,205,205,0,0
173,376,0,376,170,170,0,0
174,206,0,206,167,167,0,0
175,39,611,650,134,134,0,0
176,516,0,516,128,128,0,0
177,388,202,590,119,119,0,0
178,471,128,599,129,129,0,0
179,470,0,470,85,85,0,0
180,385,13,398,90,90,0,0
181,308,0,308,63,63,0,0
182,245,91,336,59,59,0,0
183,277,22,299,59,59,0,0
184,240,585,825,55,55,0,0
185,770,0,770,65,65,0,0
186,705,0,705,62,62,0,0
187,643,0,643,68,68,0,0
188,575,0,575,78,78,0,0
189,497,0,497,86,86,0,0
190,411,0,411,126,126,0,0
191,285,0,285,164,164,0,0
192,121,0,121,177,121,56,0
193,0,0,0,187,0,187,0
194,0,485,485,284,284,0,0
195,201,47,248,300,248,52,0
196,0,83,83,275,83,192,0
197,0,0,0,246,0,246,0
198,0,1427,1427,293,293,0,0
199,1134,0,1134,317,317,0,0
200,817,0,817,271,271,0,0
201,546,0,546,320,320,0,0
202,226,398,624,377,377,0,0
203,247,70,317,423,317,106,0
204,0,0,0,441,0,441,0
205,0,1399,1399,365,365,0,0
206,1034,0,1034,387,387,0,0
207,647,22,669,368,368,0,0
208,301,0,301,378,301,77,0
