Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,18,107,5,5,0,0
6,102,1,103,9,9,0,0
7,94,4,98,6,6,0,0
8,92,18,110,7,7,0,0
9,103,0,103,25,25,0,0
10,78,11,89,32,32,0,0
11,57,61,118,134,118,16,0
12,0,21,21,377,21,356,0
13,0,363,363,581,363,218,0
14,0,387,387,534,387,147,0
15,0,461,461,465,461,4,0
16,0,205,205,519,205,314,0
17,0,462,462,461,461,0,0
18,1,284,285,332,285,47,0
19,0,292,292,274,274,0,0
20,18,175,193,214,193,21,0
21,0,265,265,230,230,0,0
22,35,69,104,158,104,54,0
23,0,311,311,122,122,0,0
24,189,0,189,70,70,0,0
25,119,102,221,55,55,0,0
26,166,0,166,47,47,0,0
27,119,31,150,46,46,0,0
28,104,11,115,47,47,0,0
29,68,43,111,40,40,0,0
30,71,39,110,49,49,0,0
31,61,32,93,32,32,0,0
32,61,76,137,20,20,0,0
33,117,0,117,39,39,0,0
34,78,20,98,48,48,0,0
35,50,74,124,41,41,0,0
36,83,34,117,47,47,0,0
37,70,28,98,71,71,0,0
38,27,68,95,129,95,34,0
39,0,104,104,156,104,52,0
40,0,194,194,196,194,2,0
41,0,86,86,207,86,121,0
42,0,269,269,218,218,0,0
43,51,51,102,253,102,151,0
44,0,240,240,293,240,53,0
45,0,158,158,405,158,247,0
46,0,271,271,399,271,128,0
47,0,378,378,464,378,86,0
48,0,142,142,514,142,372,0
49,0,563,563,572,563,9,0
50,0,101,101,625,101,524,0
51,0,641,641,733,641,92,0
52,0,132,132,818,132,686,0
53,0,836,836,940,836,104,0
54,0,154,154,806,154,652,0
55,0,1035,1035,757,757,0,0
56,278,0,278,565,278,287,0
57,0,751,751,518,518,0,0
58,233,0,233,434,233,201,0
59,0,563,563,383,383,0,0
60,180,2,182,391,182,209,0
61,0,364,364,386,364,22,0
62,0,179,179,459,179,280,0
63,0,321,321,553,321,232,0
64,0,356,356,669,356,313,0
65,0,383,383,899,383,516,0
66,0,508,508,1229,508,721,0
67,0,765,765,1511,765,746,0
68,0,900,900,1380,900,480,0
69,0,948,948,1197,948,249,0
70,0,569,569,998,569,429,0
71,0,890,890,739,739,0,0
72,151,251,402,625,402,223,0
73,0,441,441,408,408,0,0
74,33,437,470,320,320,0,0
75,150,54,204,255,204,51,0
76,0,373,373,190,190,0,0
77,183,29,212,160,160,0,0
78,52,100,152,117,117,0,0
79,35,144,179,103,103,0,0
80,76,45,121,80,80,0,0
81,41,116,157,63,63,0,0
82,94,29,123,55,55,0,0
83,68,53,121,93,93,0,0
84,28,42,70,112,70,42,0
85,0,182,182,179,179,0,0
86,3,48,51,224,51,173,0
87,0,325,325,261,261,0,0
